Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,OPS,DPS,GPS,PS,Player-additional
1,Cale Makar,23,COL,D,1631,83.64,92,98,5,0,0,28,58,86,48,8.5,6.8,0.0,15.3,makarca01
2,Roman Josi,31,NSH,D,1606,82.36,98,76,17,3,0,23,73,96,13,8.8,5.2,0.0,13.9,josiro01
3,Victor Hedman,31,TBL,D,940,48.21,4,14,142,30,2,20,65,85,26,7.6,6.0,0.0,13.6,hedmavi01
4,Charlie McAvoy,24,BOS,D,358,18.36,1,7,22,55,24,10,46,56,31,4.0,6.8,0.0,10.8,mcavoch01
5,Adam Fox,23,NYR,D,248,12.72,0,0,4,61,45,11,63,74,18,5.9,6.0,0.0,11.8,foxad01
6,Aaron Ekblad,25,FLA,D,74,3.79,0,0,2,10,34,15,42,57,38,5.1,4.5,0.0,9.5,ekblaaa01
7,Kris Letang,34,PIT,D,73,3.74,0,0,0,18,19,10,58,68,20,5.0,5.7,0.0,10.6,letankr01
8,Devon Toews,27,COL,D,38,1.95,0,0,1,5,18,13,44,57,52,4.7,6.6,0.0,11.2,toewsde01
9,Jaccob Slavin,27,CAR,D,38,1.95,0,0,1,3,24,4,38,42,35,2.1,6.8,0.0,8.9,slavija01
10,John Carlson,32,WSH,D,28,1.44,0,0,0,4,16,17,54,71,13,6.4,4.6,0.0,11.0,carlsjo01
11,Morgan Rielly,27,TOR,D,10,0.51,0,0,0,2,4,10,58,68,16,5.1,4.3,0.0,9.4,riellmo01
12,Miro Heiskanen,22,DAL,D,9,0.46,0,0,1,1,1,5,31,36,3,1.8,4.9,0.0,6.6,heiskmi01
13,Quinn Hughes,22,VAN,D,9,0.46,0,0,0,2,3,8,60,68,10,5.1,5.0,0.0,10.1,hughequ01
14,MacKenzie Weegar,28,FLA,D,4,0.21,0,0,0,1,1,8,36,44,40,2.7,5.0,0.0,7.7,weegama01
15,Justin Faulk,29,STL,D,1,0.05,0,0,0,0,1,16,31,47,41,3.8,6.0,0.0,9.8,faulkju01
15,Alex Pietrangelo,32,VEG,D,1,0.05,0,0,0,0,1,13,31,44,7,3.2,4.4,0.0,7.5,pietral01
15,Jared Spurgeon,32,MIN,D,1,0.05,0,0,0,0,1,10,30,40,32,3.2,4.0,0.0,7.2,spurgja01
15,Chris Tanev,32,CGY,D,1,0.05,0,0,0,0,1,6,22,28,35,1.2,5.7,0.0,6.9,tanevch01
