Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,OPS,DPS,GPS,PS,Player-additional
1,Quinn Hughes,24,VAN,D,1864,96.08,172,17,5,0,0,17,75,92,38,7.9,6.5,0.0,14.4,hughequ01
2,Roman Josi,33,NSH,D,1207,62.22,12,108,61,8,2,23,62,85,12,8.0,4.8,0.0,12.8,josiro01
3,Cale Makar,25,COL,D,893,46.03,9,61,59,21,18,21,69,90,15,8.2,4.1,0.0,12.3,makarca01
4,Adam Fox,25,NYR,D,229,11.80,1,1,14,38,28,17,56,73,21,6.6,5.3,0.0,11.9,foxad01
5,Evan Bouchard,24,EDM,D,212,10.93,0,1,19,29,23,18,64,82,34,7.3,5.8,0.0,13.1,bouchev01
6,Victor Hedman,33,TBL,D,201,10.36,0,4,6,42,17,13,63,76,18,6.2,5.4,0.0,11.6,hedmavi01
7,Josh Morrissey,28,WPG,D,166,8.56,0,0,19,16,23,10,59,69,34,5.2,6.3,0.0,11.5,morrijo04
8,Noah Dobson,24,NYI,D,95,4.90,0,0,2,18,31,10,60,70,12,5.4,4.5,0.0,9.9,dobsono01
9,Gustav Forsling,27,FLA,D,85,4.38,0,1,6,10,18,10,29,39,56,2.6,8.0,0.0,10.6,forslgu02
10,Miro Heiskanen,24,DAL,D,43,2.22,0,1,3,3,12,9,45,54,8,3.9,3.7,0.0,7.7,heiskmi01
11,Drew Doughty,34,LAK,D,18,0.93,0,0,0,4,6,15,35,50,15,3.7,6.1,0.0,9.8,doughdr01
12,Mattias Ekholm,33,EDM,D,15,0.77,0,0,0,2,9,11,34,45,44,3.3,6.2,0.0,9.5,ekholma01
13,Charlie McAvoy,26,BOS,D,7,0.36,0,0,0,2,1,12,35,47,4,3.5,4.1,0.0,7.6,mcavoch01
14,Jaccob Slavin,29,CAR,D,6,0.31,0,0,0,1,3,6,31,37,21,2.0,5.6,0.0,7.6,slavija01
15,Rasmus Dahlin,23,BUF,D,3,0.15,0,0,0,0,3,20,39,59,-3,5.3,4.1,0.0,9.4,dahlira01
