Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,OPS,DPS,GPS,PS,Player-additional
1,Duncan Keith,30,CHI,D,1033,75.40,68,35,17,7,2,6,55,61,22,5.1,4.9,0.0,10.0,keithdu01
2,Zdeno Chára,36,BOS,D,667,48.69,21,39,22,19,17,17,23,40,25,4.1,5.2,0.0,9.2,charazd01
3,Shea Weber,28,NSH,D,638,46.57,26,23,29,19,15,23,33,56,-2,6.2,4.5,0.0,10.8,webersh01
4,Ryan Suter,29,MIN,D,351,25.62,9,12,20,22,11,8,35,43,15,2.6,6.9,0.0,9.5,suterry01
5,Alex Pietrangelo,24,STL,D,304,22.19,3,13,18,25,18,8,43,51,20,4.0,6.3,0.0,10.4,pietral01
6,Drew Doughty,24,LAK,D,284,20.73,8,6,17,18,23,10,27,37,17,2.8,6.6,0.0,9.4,doughdr01
7,Erik Karlsson,23,OTT,D,70,5.11,0,5,3,4,8,20,54,74,-15,8.0,2.4,0.0,10.4,karlser01
8,Ryan McDonagh,24,NYR,D,53,3.87,0,1,4,5,11,14,29,43,11,4.1,5.7,0.0,9.8,mcdonry01
9,Victor Hedman,23,TBL,D,42,3.07,1,1,0,5,10,13,42,55,5,5.5,3.5,0.0,9.0,hedmavi01
10,Mark Giordano,30,CGY,D,36,2.63,1,0,2,3,7,14,33,47,12,4.8,5.0,0.0,9.8,giordma01
11,Matt Niskanen,27,PIT,D,36,2.63,0,1,2,5,4,10,36,46,33,4.1,7.0,0.0,11.1,niskama01
12,Marc-Édouard Vlasic,26,SJS,D,21,1.53,0,1,0,3,5,5,19,24,31,1.1,6.1,0.0,7.3,vlasima01
13,Niklas Kronwall,33,DET,D,10,0.73,0,0,1,1,2,8,41,49,0,4.1,4.0,0.0,8.1,kronwni01
14,Oliver Ekman-Larsson,22,PHX,D,6,0.44,0,0,1,0,1,15,29,44,-4,4.0,4.3,0.0,8.3,ekmanol01
14,P.K. Subban,24,MTL,D,6,0.44,0,0,1,0,1,10,43,53,-4,4.7,4.6,0.0,9.3,subbapk01
16,Andrei Markov,35,MTL,D,3,0.22,0,0,0,1,0,7,36,43,12,3.2,6.0,0.0,9.2,markoan01
17,Jay Bouwmeester,30,STL,D,1,0.07,0,0,0,0,1,4,33,37,26,2.1,6.7,0.0,8.8,bouwmja01
17,Brent Seabrook,28,CHI,D,1,0.07,0,0,0,0,1,7,34,41,23,3.1,4.8,0.0,7.9,seabrbr01
