Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,OPS,DPS,GPS,PS,Player-additional
1,Adam Fox,22,NYR,D,743,74.30,40,34,17,6,2,5,42,47,19,3.7,4.1,0.0,7.8,foxad01
2,Cale Makar,22,COL,D,655,65.50,31,30,22,7,4,8,36,44,17,4.0,3.3,0.0,7.3,makarca01
3,Victor Hedman,30,TBL,D,433,43.30,22,12,16,13,10,9,36,45,5,4.0,3.3,0.0,7.3,hedmavi01
4,Dougie Hamilton,27,CAR,D,239,23.90,1,8,20,21,10,10,32,42,20,3.8,4.4,0.0,8.2,hamildo01
5,Charlie McAvoy,23,BOS,D,125,12.50,2,4,8,10,7,5,25,30,22,2.1,4.7,0.0,6.8,mcavoch01
6,Shea Theodore,25,VEG,D,109,10.90,2,3,3,12,17,8,34,42,28,3.7,4.5,0.0,8.2,theodsh01
7,Darnell Nurse,25,EDM,D,76,7.60,0,3,3,10,10,16,20,36,27,3.6,5.3,0.0,8.9,nurseda01
8,MacKenzie Weegar,27,FLA,D,74,7.40,0,3,4,6,15,6,30,36,29,3.0,4.4,0.0,7.4,weegama01
9,Kris Letang,33,PIT,D,60,6.00,1,3,3,2,8,7,38,45,19,3.7,3.5,0.0,7.2,letankr01
10,Jakob Chychrun,22,ARI,D,50,5.00,1,0,3,5,10,18,23,41,-6,4.5,2.9,0.0,7.4,chychja01
11,Devon Toews,26,COL,D,12,1.20,0,0,1,2,1,9,22,31,29,2.4,4.7,0.0,7.2,toewsde01
12,John Carlson,31,WSH,D,6,0.60,0,0,0,2,0,10,34,44,-5,4.1,1.7,0.0,5.9,carlsjo01
13,Jeff Petry,33,MTL,D,5,0.50,0,0,0,1,2,12,30,42,6,4.2,3.0,0.0,7.2,petryje01
14,Roman Josi,30,NSH,D,4,0.40,0,0,0,1,1,8,25,33,-11,3.0,1.7,0.0,4.6,josiro01
14,Jaccob Slavin,26,CAR,D,4,0.40,0,0,0,1,1,3,12,15,22,0.4,4.4,0.0,4.8,slavija01
16,Brett Pesce,26,CAR,D,3,0.30,0,0,0,1,0,4,21,25,14,1.4,3.9,0.0,5.4,pescebr01
17,Adam Pelech,26,NYI,D,1,0.10,0,0,0,0,1,4,10,14,15,0.5,4.2,0.0,4.7,pelecad01
17,Ryan Pulock,26,NYI,D,1,0.10,0,0,0,0,1,2,15,17,15,0.5,4.4,0.0,4.9,pulocry01
