Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,OPS,DPS,GPS,PS,Player-additional
1,Zdeno Chára,31,BOS,D,1034,77.74,68,36,18,4,0,19,31,50,23,4.8,5.7,0.0,10.5,charazd01
2,Mike Green,23,WSH,D,982,73.83,50,53,19,4,4,31,42,73,24,9.0,4.9,0.0,13.9,greenmi03
3,Nicklas Lidström,38,DET,D,733,55.11,14,34,58,19,8,16,43,59,31,5.5,5.7,0.0,11.2,lidstni01
4,Shea Weber,23,NSH,D,186,13.98,0,4,11,25,28,23,30,53,1,5.6,4.9,0.0,10.5,webersh01
5,Dan Boyle,32,SJS,D,173,13.01,0,2,4,38,25,16,41,57,6,5.2,5.3,0.0,10.6,boyleda01
6,Duncan Keith,25,CHI,D,95,7.14,0,2,4,14,19,8,36,44,33,3.1,6.3,0.0,9.4,keithdu01
6,Andrei Markov,30,MTL,D,95,7.14,0,1,9,10,13,12,52,64,-2,5.9,3.8,0.0,9.7,markoan01
8,Mark Streit,31,NYI,D,29,2.18,0,0,1,5,9,16,40,56,5,5.3,4.8,0.0,10.1,streima01
9,Brian Rafalski,35,DET,D,27,2.03,1,0,0,4,5,10,49,59,17,5.0,4.4,0.0,9.4,rafalbr01
9,Scott Niedermayer,35,ANA,D,27,2.03,0,0,3,2,6,14,45,59,-8,4.9,3.8,0.0,8.7,niedesc01
11,Dennis Wideman,25,BOS,D,24,1.80,0,0,2,3,5,13,37,50,32,4.3,6.1,0.0,10.5,widemde01
12,Dion Phaneuf,23,CGY,D,17,1.28,0,0,2,2,1,11,36,47,-11,3.5,3.4,0.0,6.9,phanedi01
13,Sheldon Souray,32,EDM,D,16,1.20,0,1,1,1,1,23,30,53,1,5.5,3.9,0.0,9.4,sourash01
14,Jay Bouwmeester,25,FLA,D,9,0.68,0,0,1,0,4,15,27,42,-2,3.4,4.3,0.0,7.7,bouwmja01
15,Kimmo Timonen,33,PHI,D,8,0.60,0,0,0,1,5,3,40,43,19,2.8,4.8,0.0,7.6,timonki01
16,Brian Campbell,29,CHI,D,3,0.23,0,0,0,1,0,7,45,52,5,3.9,3.9,0.0,7.8,campbbr02
