Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,OPS,DPS,GPS,PS,Player-additional
1,Mark Giordano,35,CGY,D,1690,98.83,165,5,1,0,0,17,57,74,39,6.7,5.9,0.0,12.6,giordma01
2,Brent Burns,33,SJS,D/RW,720,42.11,2,54,44,27,21,16,67,83,13,7.3,4.7,0.0,12.0,burnsbr01
3,Victor Hedman,28,TBL,D,585,34.21,1,44,33,28,18,12,42,54,24,4.7,4.3,0.0,8.9,hedmavi01
4,John Carlson,29,WSH,D,551,32.22,3,34,26,41,30,13,57,70,21,5.8,4.7,0.0,10.5,carlsjo01
5,Morgan Rielly,24,TOR,D,515,30.12,0,28,33,37,43,20,52,72,24,7.0,4.7,0.0,11.7,riellmo01
6,Kris Letang,31,PIT,D,145,8.48,0,3,14,11,21,16,40,56,13,5.2,3.8,0.0,9.0,letankr01
7,Roman Josi,28,NSH,D,82,4.80,0,2,2,13,19,15,41,56,9,4.7,5.2,0.0,9.9,josiro01
8,Ryan McDonagh,29,TBL,D,70,4.09,0,0,9,7,4,9,37,46,38,3.3,5.7,0.0,8.9,mcdonry01
9,Seth Jones,24,CBJ,D,40,2.34,0,1,5,1,5,9,37,46,1,3.3,4.2,0.0,7.5,jonesse01
10,Mattias Ekholm,28,NSH,D,14,0.82,0,0,1,3,0,8,36,44,27,3.0,6.1,0.0,9.2,ekholma01
11,Jake Muzzin,29,TOT,D,5,0.29,0,0,1,0,0,9,28,37,21,2.6,5.3,0.0,7.8,muzzija01
11,Jared Spurgeon,29,MIN,D,5,0.29,0,0,1,0,0,14,29,43,-1,3.3,5.5,0.0,8.8,spurgja01
11,Oliver Ekman-Larsson,27,ARI,D,5,0.29,0,0,1,0,0,14,30,44,-16,3.7,4.2,0.0,7.9,ekmanol01
14,Dougie Hamilton,25,CAR,D,4,0.23,0,0,0,1,1,18,21,39,0,3.8,3.7,0.0,7.6,hamildo01
15,Erik Karlsson,28,SJS,D,4,0.23,0,0,0,0,4,3,42,45,6,3.2,2.8,0.0,6.0,karlser01
16,Zdeno Chára,41,BOS,D,3,0.18,0,0,0,1,0,5,9,14,22,0.3,4.5,0.0,4.8,charazd01
16,Jaccob Slavin,24,CAR,D,3,0.18,0,0,0,1,0,8,23,31,0,1.7,4.3,0.0,6.0,slavija01
18,Thomas Chabot,22,OTT,D,1,0.06,0,0,0,0,1,14,41,55,-12,4.8,2.7,0.0,7.5,chaboth01
18,Esa Lindell,24,DAL,D,1,0.06,0,0,0,0,1,11,21,32,14,1.9,6.7,0.0,8.6,lindees01
18,Brett Pesce,24,CAR,D,1,0.06,0,0,0,0,1,7,22,29,35,1.8,6.1,0.0,7.9,pescebr01
18,Jeff Petry,31,MTL,D,1,0.06,0,0,0,0,1,13,33,46,-5,3.6,3.2,0.0,6.8,petryje01
18,Ryan Suter,34,MIN,D,1,0.06,0,0,0,0,1,7,40,47,-8,2.7,5.5,0.0,8.3,suterry01
