Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,OPS,DPS,GPS,PS,Player-additional
1,Cale Makar,26,COL,D,1861,97.43,176,13,2,0,0,30,62,92,28,9.6,6.5,0.0,16.1,makarca01
2,Zach Werenski,27,CBJ,D,1266,66.28,13,132,38,7,1,23,59,82,12,7.9,4.2,0.0,12.0,werenza01
3,Quinn Hughes,25,VAN,D,918,48.06,2,39,110,21,12,16,60,76,2,6.9,4.6,0.0,11.5,hughequ01
4,Josh Morrissey,29,WPG,D,280,14.66,0,5,18,41,32,14,48,62,17,5.2,5.6,0.0,10.7,morrijo04
5,Victor Hedman,34,TBL,D,265,13.87,0,1,11,55,38,15,51,66,18,5.8,4.5,0.0,10.3,hedmavi01
6,Rasmus Dahlin,24,BUF,D,120,6.28,0,0,4,26,22,17,51,68,11,6.4,3.7,0.0,10.1,dahlira01
7,Thomas Harley,23,DAL,D,60,3.14,0,1,1,7,27,16,34,50,32,4.2,6.0,0.0,10.1,harleth01
8,Jaccob Slavin,30,CAR,D,60,3.14,0,0,2,13,11,6,21,27,16,1.2,5.0,0.0,6.2,slavija01
9,Lane Hutson,20,MTL,D,42,2.20,0,0,1,5,22,6,60,66,-2,4.9,4.0,0.0,8.9,hutsola01
10,Jake Sanderson,22,OTT,D,33,1.73,0,0,0,9,6,11,46,57,-14,4.4,3.8,0.0,8.2,sandeja01
11,Evan Bouchard,25,EDM,D,29,1.52,0,0,2,4,7,14,53,67,14,5.7,5.4,0.0,11.1,bouchev01
12,Adam Fox,26,NYR,D,9,0.47,0,0,1,0,4,10,51,61,9,4.9,3.6,0.0,8.5,foxad01
13,Gustav Forsling,28,FLA,D,8,0.42,0,0,1,0,3,11,20,31,33,2.0,6.6,0.0,8.6,forslgu02
14,Ryan McDonagh,35,TBL,D,5,0.26,0,0,0,1,2,4,27,31,43,1.4,6.1,0.0,7.5,mcdonry01
15,Devon Toews,30,COL,D,4,0.21,0,0,0,1,1,10,34,44,30,3.1,6.2,0.0,9.3,toewsde01
16,John Carlson,35,WSH,D,3,0.16,0,0,0,1,0,5,46,51,17,3.3,4.6,0.0,7.9,carlsjo01
17,Jakob Chychrun,26,WSH,D,1,0.05,0,0,0,0,1,20,27,47,17,4.8,4.1,0.0,8.8,chychja01
17,Brock Faber,22,MIN,D,1,0.05,0,0,0,0,1,10,19,29,-2,1.5,4.4,0.0,5.9,faberbr01
17,Shea Theodore,29,VEG,D,1,0.05,0,0,0,0,1,7,50,57,18,4.5,4.4,0.0,8.9,theodsh01
