playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xPlayStopped,playStopped,xPlayContinuedInZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,penalityMinutes,penalties
8471469,2008,Pekka Rinne,NSH,G,other,52,4642.0,10.49,15.0,151.0,1.48,1.0,46.23,10.09,76.0,23.0,13.0,2.93,2.84,4.71,3.0,7.0,5.0,0.0,0.0
8471469,2008,Pekka Rinne,NSH,G,all,52,178752.0,117.1,119.0,2553.0,44.3,57.0,780.05,113.58,1512.0,337.0,103.0,44.37,40.63,32.1,41.0,45.0,33.0,6.0,3.0
8471469,2008,Pekka Rinne,NSH,G,5on5,52,142070.0,86.35,82.0,2030.0,35.7,47.0,618.36,83.85,1232.0,256.0,66.0,36.53,30.64,19.18,34.0,32.0,16.0,6.0,3.0
8471469,2008,Pekka Rinne,NSH,G,4on5,52,15761.0,15.54,16.0,302.0,1.07,2.0,100.1,15.03,162.0,48.0,15.0,3.88,5.91,5.75,3.0,4.0,9.0,0.0,0.0
8471469,2008,Pekka Rinne,NSH,G,5on4,52,16279.0,3.74,5.0,50.0,5.72,7.0,9.89,3.64,30.0,9.0,7.0,0.75,1.16,1.83,0.0,2.0,3.0,0.0,0.0
8462117,2008,Vesa Toskala,TOR,G,other,52,4985.0,10.55,17.0,179.0,2.78,6.0,47.76,10.23,98.0,24.0,12.0,3.57,2.75,4.22,8.0,2.0,7.0,0.0,0.0
8462117,2008,Vesa Toskala,TOR,G,all,52,177444.0,145.33,163.0,2940.0,51.18,56.0,842.76,139.07,1594.0,416.0,137.0,46.97,50.35,48.0,56.0,49.0,58.0,2.0,1.0
8462117,2008,Vesa Toskala,TOR,G,5on5,52,137610.0,93.79,101.0,2176.0,38.47,44.0,621.87,90.52,1193.0,315.0,72.0,35.41,38.12,20.25,43.0,39.0,19.0,0.0,0.0
8462117,2008,Vesa Toskala,TOR,G,4on5,52,16757.0,36.41,39.0,507.0,0.77,1.0,158.83,33.87,248.0,68.0,47.0,6.49,8.25,21.68,4.0,5.0,30.0,2.0,1.0
8462117,2008,Vesa Toskala,TOR,G,5on4,52,18092.0,4.16,6.0,71.0,9.03,5.0,12.34,4.05,50.0,8.0,6.0,1.25,1.07,1.85,1.0,3.0,2.0,0.0,0.0
