Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional
1,Tim Thomas,36,BOS,G,104,69.33,17,5,4,,,35,11,9,2.00,.938,0.0,0.0,16.2,16.2,thomati01
2,Pekka Rinne,28,NSH,G,84,56.00,6,17,3,,,33,22,9,2.12,.930,0.0,0.0,15.1,15.1,rinnepe01
3,Roberto Luongo,31,VAN,G,33,22.00,3,4,6,,,38,15,7,2.11,.928,0.0,0.0,13.6,13.6,luongro01
4,Henrik Lundqvist,28,NYR,G,23,15.33,3,1,5,,,36,27,5,2.28,.923,0.0,0.0,14.0,14.0,lundqhe01
5,Carey Price,23,MTL,G,10,6.67,1,0,5,,,38,28,6,2.35,.923,0.0,0.0,15.4,15.4,priceca01
6,Ilya Bryzgalov,30,PHX,G,9,6.00,0,2,3,,,36,20,10,2.48,.921,0.0,0.0,14.7,14.7,bryzgil01
7,Cam Ward,26,CAR,G,4,2.67,0,1,1,,,37,26,10,2.56,.923,0.0,0.0,16.8,16.8,wardca01
8,Marc-André Fleury,26,PIT,G,1,0.67,0,0,1,,,36,20,5,2.32,.918,0.0,0.0,11.4,11.4,fleurma01
8,Antti Niemi,27,SJS,G,1,0.67,0,0,1,,,35,18,6,2.38,.920,0.0,0.0,11.7,11.7,niemian02
8,Jonathan Quick,25,LAK,G,1,0.67,0,0,1,,,35,22,3,2.24,.918,0.0,0.0,10.7,10.7,quickjo01
