Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional
1,Marc-André Fleury,36,VEG,G,108,69.68,14,11,5,,,26,10,0,1.98,.928,0.0,0.0,8.0,8.0,fleurma01
2,Andrei Vasilevskiy,26,TBL,G,99,63.87,12,12,3,,,31,10,1,2.21,.925,0.0,0.0,9.6,9.6,vasilan02
3,Philipp Grubauer,29,COL,G,36,23.23,2,6,8,,,30,9,1,1.95,.922,0.0,0.0,7.4,7.4,grubaph01
4,Connor Hellebuyck,27,WPG,G,13,8.39,2,0,3,,,24,17,3,2.58,.916,0.0,0.0,9.1,9.1,helleco01
5,Semyon Varlamov,32,NYI,G,11,7.10,1,1,3,,,19,11,4,2.04,.929,0.0,0.0,8.4,8.4,varlasi01
6,Juuse Saros,25,NSH,G,10,6.45,0,1,7,,,21,11,1,2.28,.927,0.0,0.0,8.6,8.6,sarosju01
7,Mike Smith,38,EDM,G,2,1.29,0,0,2,,,21,6,2,2.31,.923,0.0,0.0,6.9,6.9,smithmi01
