Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional
1,Connor Hellebuyck,26,WPG,G,123,82.00,19,9,1,,,31,21,5,2.57,.922,0.0,0.0,12.5,12.5,helleco01
2,Tuukka Rask,32,BOS,G,99,66.00,10,15,4,,,26,8,6,2.12,.929,0.0,0.0,9.1,9.1,rasktu01
3,Andrei Vasilevskiy,25,TBL,G,31,20.67,1,3,17,,,35,14,3,2.56,.917,0.0,0.0,10.4,10.4,vasilan02
4,Jacob Markström,30,VAN,G,7,4.67,0,1,4,,,23,16,4,2.75,.918,0.0,0.0,9.2,9.2,marksja02
5,Elvis Merzļikins,25,CBJ,G,4,2.67,0,1,1,,,13,9,8,2.35,.923,0.0,0.0,6.5,6.5,merzlel01
6,Robin Lehner,28,TOT,G,3,2.00,0,1,0,,,19,10,5,2.89,.920,0.0,0.0,8.3,8.3,lehnero01
7,Jordan Binnington,26,STL,G,1,0.67,0,0,1,,,30,13,7,2.56,.912,0.0,0.0,8.4,8.4,binnijo01
7,Tristan Jarry,24,PIT,G,1,0.67,0,0,1,,,20,12,1,2.43,.921,0.0,0.0,6.7,6.7,jarrytr01
7,Darcy Kuemper,29,ARI,G,1,0.67,0,0,1,,,16,11,2,2.22,.928,0.0,0.0,6.9,6.9,kuempda01
