Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional
1,Sergei Bobrovsky,28,CBJ,G,138,92.00,25,4,1,0,0,41,17,5,2.06,.931,0.0,0.0,14.9,14.9,bobrose01
2,Braden Holtby,27,WSH,G,87,58.00,4,21,4,0,0,42,13,6,2.07,.925,0.0,0.0,12.3,12.3,holtbbr01
3,Carey Price,29,MTL,G,19,12.67,0,2,13,0,0,37,20,5,2.23,.923,0.0,0.0,12.6,12.6,priceca01
4,Cam Talbot,29,EDM,G,17,11.33,1,2,6,0,0,42,22,8,2.39,.919,0.0,0.0,14.0,14.0,talboca01
5,Devan Dubnyk,30,MIN,G,8,5.33,0,1,5,0,0,40,19,5,2.25,.923,0.0,0.0,13.1,13.1,dubnyde01
6,Martin Jones,27,SJS,G,1,0.67,0,0,1,0,0,35,23,6,2.40,.912,0.0,0.0,9.9,9.9,jonesma02
