Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional
1,Andrei Vasilevskiy,24,TBL,G,146,94.19,28,2,0,,,39,10,4,2.40,.925,0.0,0.0,12.4,12.4,vasilan02
2,Ben Bishop,32,DAL,G,64,41.29,2,16,6,,,27,15,2,1.98,.934,0.0,0.0,10.8,10.8,bishobe01
3,Robin Lehner,27,NYI,G,17,10.97,0,3,8,,,25,13,5,2.13,.930,0.0,0.0,10.2,10.2,lehnero01
4,Marc-André Fleury,34,VEG,G,11,7.10,1,1,3,,,35,21,5,2.51,.913,0.0,0.0,10.3,10.3,fleurma01
5,Jordan Binnington,25,STL,G,9,5.81,0,2,3,,,24,5,1,1.89,.927,0.0,0.0,6.0,6.0,binnijo01
5,Darcy Kuemper,28,ARI,G,9,5.81,0,2,3,,,27,20,8,2.33,.925,0.0,0.0,12.0,12.0,kuempda01
7,Carey Price,31,MTL,G,8,5.16,0,2,2,,,35,24,6,2.49,.918,0.0,0.0,12.5,12.5,priceca01
7,Pekka Rinne,36,NSH,G,8,5.16,0,2,2,,,30,19,4,2.42,.918,0.0,0.0,10.1,10.1,rinnepe01
9,Sergei Bobrovsky,30,CBJ,G,4,2.58,0,1,1,,,37,24,1,2.58,.913,0.0,0.0,10.4,10.4,bobrose01
10,Frederik Andersen,29,TOR,G,1,0.65,0,0,1,,,36,16,7,2.77,.917,0.0,0.0,12.5,12.5,anderfr01
10,John Gibson,25,ANA,G,1,0.65,0,0,1,,,26,22,8,2.84,.917,0.0,0.0,11.6,11.6,gibsojo02
10,Jacob Markström,29,VAN,G,1,0.65,0,0,1,,,28,23,9,2.77,.912,0.0,0.0,11.1,11.1,marksja02
