Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional
1,Henrik Lundqvist,29,NYR,G,120,80.00,17,11,2,,,39,18,5,1.97,.930,0.0,0.0,14.1,14.1,lundqhe01
2,Jonathan Quick,26,LAK,G,63,42.00,6,9,6,,,35,21,13,1.95,.929,0.0,0.0,14.7,14.7,quickjo01
3,Pekka Rinne,29,NSH,G,42,28.00,4,4,10,,,43,18,8,2.39,.923,0.0,0.0,15.5,15.5,rinnepe01
4,Mike Smith,29,PHX,G,35,23.33,2,5,10,,,38,18,10,2.21,.930,0.0,0.0,16.7,16.7,smithmi01
5,Brian Elliott,26,STL,G,5,3.33,1,0,0,,,23,10,4,1.56,.940,0.0,0.0,9.0,9.0,elliobr01
6,Jaroslav Halák,26,STL,G,3,2.00,0,1,0,,,26,12,7,1.97,.926,0.0,0.0,9.1,9.1,halakja01
7,Marc-André Fleury,27,PIT,G,1,0.67,0,0,1,,,42,17,4,2.36,.913,0.0,0.0,10.7,10.7,fleurma01
7,Miikka Kiprusoff,35,CGY,G,1,0.67,0,0,1,,,35,22,11,2.35,.921,0.0,0.0,14.1,14.1,kiprumi01
