Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional
1,Martin Brodeur,35,NJD,G,113,75.33,15,12,2,,,44,27,6,2.17,.920,0.0,0.0,15.5,15.5,brodema01
2,Evgeni Nabokov,32,SJS,G,106,70.67,13,13,2,,,46,21,8,2.14,.910,0.0,0.0,11.2,11.2,nabokev01
3,Henrik Lundqvist,25,NYR,G,13,8.67,1,0,8,,,37,24,10,2.23,.912,0.0,0.0,11.9,11.9,lundqhe01
4,Jean-Sébastien Giguère,30,ANA,G,11,7.33,0,1,8,,,35,17,6,2.12,.922,0.0,0.0,11.7,11.7,gigueje01
5,Miikka Kiprusoff,31,CGY,G,7,4.67,1,0,2,,,39,26,10,2.69,.906,0.0,0.0,12.2,12.2,kiprumi01
6,Niklas Bäckström,29,MIN,G,6,4.00,0,2,0,,,33,13,8,2.31,.920,0.0,0.0,12.1,12.1,backsni01
7,Roberto Luongo,28,VAN,G,5,3.33,0,1,2,,,35,29,9,2.38,.917,0.0,0.0,14.4,14.4,luongro01
8,Cristobal Huet,32,TOT,G,4,2.67,0,1,1,,,32,14,6,2.32,.920,0.0,0.0,11.1,11.1,huetcr01
9,Carey Price,20,MTL,G,2,1.33,0,0,2,,,24,12,3,2.56,.920,0.0,0.0,9.5,9.5,priceca01
9,Tim Thomas,33,BOS,G,2,1.33,0,0,2,,,28,19,6,2.44,.921,0.0,0.0,13.2,13.2,thomati01
11,Chris Osgood,35,DET,G,1,0.67,0,0,1,,,27,9,4,2.09,.914,0.0,0.0,6.6,6.6,osgooch01
